Price List ID,Price List Name,Product Name,Variant ID,SKU,Qty  Band 1,Price 1,Qty Band 2,Price 2,Qty Band 3,Price 3
16,Distributor UK Single,Leisure Towels 350gsm,1682,TLE : TLEBS02,1,5.74,5,5.74,28,5.74
16,Distributor UK Single,Lido Leisure Towel 420gsm,1684,TLL : TLLB1501,1,10.33,5,10.33,22,10.33
16,Distributor UK Single,Lido Leisure Towel 420gsm,1685,TLL : TLLB1516,1,10.33,5,10.33,22,10.33
16,Distributor UK Single,Monaco Towels 770gsm,1687,TMO : TMOBM01,1,5.05,5,5.05,40,5.05
16,Distributor UK Single,Monaco Towels 770gsm,1688,TMO : TMOBS01,1,17.26,5,17.26,10,17.26
16,Distributor UK Single,Monaco Towels 770gsm,1689,TMO : TMOHT01,1,5.42,5,5.42,36,5.42
16,Distributor UK Single,Opulence Towels 650 gsm,1691,TOP : TOPFC01,1,0.84,108,0.84,240,0.84
16,Distributor UK Single,Opulence Towels 650 gsm,1692,TOP : TOPHT01,1,4.01,5,4.01,36,4.01
16,Distributor UK Single,Opulence Towels 650 gsm,1693,TOP : TOPBS01,1,13.04,5,13.04,12,13.04
16,Distributor UK Single,Pure Linen - Treatment Pillow Case,1694,LPUPC01,1,1.81,5,1.81,,
16,Distributor UK Single,Exquisite Velour Bathrobe 400gsm,1710,BEX : BEXBL01,,,,,,
16,Distributor UK Single,Exquisite Velour Bathrobe 400gsm,1711,BEX : BEXM01,1,39.54,5,39.54,10,39.54
16,Distributor UK Single,Exquisite Velour Bathrobe 400gsm,1712,BEX : BEXXL01,1,39.54,5,39.54,10,39.54
16,Distributor UK Single,Fleece Super Soft Bathrobe 300gsm,1720,BFL : BFLBL01,,,,,,
16,Distributor UK Single,Fleece Super Soft Bathrobe 300gsm,1721,BFL : BFLBL16,,,,,,
16,Distributor UK Single,Fleece Super Soft Bathrobe 300gsm,1722,BFL : BFLXL01,1,22.59,5,22.59,10,22.59
16,Distributor UK Single,Fleece Super Soft Bathrobe 300gsm,1723,BFL : BFLXL16,1,22.59,5,22.59,10,22.59
16,Distributor UK Single,Fleece Super Soft Bathrobe 300gsm,1724,BFL : BFLM01,1,22.59,5,22.59,10,22.59
16,Distributor UK Single,Fleece Super Soft Bathrobe 300gsm,1725,BFL : BFLM16,1,22.59,5,22.59,10,22.59
16,Distributor UK Single,Florida Seersucker Bathrobe 360gsm,1727,BFSS : BFSSXL01,1,20.45,5,20.45,10,20.45
16,Distributor UK Single,Finesse Lightweight Bathrobe 270gsm,1729,BAV : BAVBL01,,,,,,
16,Distributor UK Single,Finesse Lightweight Bathrobe 270gsm,1730,BAV : BAVM01,1,26.66,5,26.66,20,26.66
16,Distributor UK Single,Finesse Lightweight Bathrobe 270gsm,1731,BAV : BAVXL01,1,26.66,5,26.66,20,26.66
16,Distributor UK Single,Bamboo Bathrobe 500gsm,1732,BBAMXL01,1,19.53,5,19.53,10,19.53
16,Distributor UK Single,Comfy 400gsm Egyptian Cotton Bathrobe For Kids,1734,BCOCH : BCOCHBL01,,,,,,
16,Distributor UK Single,Comfy 400gsm Egyptian Cotton Bathrobe For Kids,1735,BCOCH : BCOCH1101,1,15.69,5,15.69,16,15.69
16,Distributor UK Single,Comfy 400gsm Egyptian Cotton Bathrobe For Kids,1736,BCOCH : BCOCH201,1,13.84,5,13.84,20,13.84
16,Distributor UK Single,Comfy 400gsm Egyptian Cotton Bathrobe For Kids,1737,BCOCH : BCOCH501,1,13.84,5,13.84,20,13.84
16,Distributor UK Single,Comfy 400gsm Egyptian Cotton Bathrobe For Kids,1738,BCOCH : BCOCH701,1,13.84,5,13.84,20,13.84
16,Distributor UK Single,Comfy 400gsm Egyptian Cotton Bathrobe For Kids,1739,BCOCH : BCOCH901,1,15.69,5,15.69,16,15.69
16,Distributor UK Single,Hamptons Bathrobe 380gsm,1741,BHA : BHAM38,1,34.17,5,34.17,10,34.17
16,Distributor UK Single,Hamptons Bathrobe 380gsm,1742,BHA : BHAXL38,1,34.17,5,34.17,10,34.17
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1744,BHE : BHEXXL08,,,,,,
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1745,BHE : BHEBL01,,,,,,
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1747,BHE : BHEBL03,,,,,,
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1748,BHE : BHEBL04,,,,,,
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1749,BHE : BHEBL16,,,,,,
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1751,BHE : BHEBL35,,,,,,
